"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type","name_winery_region"
"Pomerol 2011","France","Pomerol","Château La Providence",4.2,100,95,2011,"Red","Pomerol 2011 - Château La Providence, Pomerol"
"Lirac 2017","France","Lirac","Château Mont-Redon",4.3,100,15.5,2017,"Red","Lirac 2017 - Château Mont-Redon, Lirac"
"Erta e China Rosso di Toscana 2015","Italy","Toscana","Renzo Masi",3.9,100,7.45,2015,"Red","Erta e China Rosso di Toscana 2015 - Renzo Masi, Toscana"
"Bardolino 2019","Italy","Bardolino","Cavalchina",3.5,100,8.72,2019,"Red","Bardolino 2019 - Cavalchina, Bardolino"
"Ried Scheibner Pinot Noir 2016","Austria","Carnuntum","Markowitsch",3.9,100,29.15,2016,"Red","Ried Scheibner Pinot Noir 2016 - Markowitsch, Carnuntum"
"Gigondas (Nobles Terrasses) 2017","France","Gigondas","Vieux Clocher",3.7,100,19.9,2017,"Red","Gigondas (Nobles Terrasses) 2017 - Vieux Clocher, Gigondas"
"Marion's Vineyard Pinot Noir 2016","New Zealand","Wairarapa","Schubert",4,100,43.87,2016,"Red","Marion's Vineyard Pinot Noir 2016 - Schubert, Wairarapa"
"Red Blend 2014","Chile","Itata Valley","Viña La Causa",3.9,100,17.52,2014,"Red","Red Blend 2014 - Viña La Causa, Itata Valley"
"Chianti 2015","Italy","Chianti","Castello Montaùto",3.6,100,10.75,2015,"Red","Chianti 2015 - Castello Montaùto, Chianti"
"Tradition 2014","France","Minervois","Domaine des Aires Hautes",3.5,100,6.9,2014,"Red","Tradition 2014 - Domaine des Aires Hautes, Minervois"
"Chianti Riserva 2013","Italy","Chianti","Poggiotondo",3.9,100,20.95,2013,"Red","Chianti Riserva 2013 - Poggiotondo, Chianti"
"Descendant 2016","Australia","Barossa","Torbreck",4.3,100,140.64,2016,"Red","Descendant 2016 - Torbreck, Barossa"
"Les Obriers de la Peira Terrasses du Larzac 2017","France","Terrasses du Larzac","La Pèira en Damaisèla",4.1,100,14.52,2017,"Red","Les Obriers de la Peira Terrasses du Larzac 2017 - La Pèira en Damaisèla, Terrasses du Larzac"
"Zenas Primitivo 2018","Italy","Puglia","La Bollina",3.6,100,9.26,2018,"Red","Zenas Primitivo 2018 - La Bollina, Puglia"
"Cuvée Confidence Côtes du Rhône Rouge 2017","France","Côtes-du-Rhône","Domaine Fond Croze",3.7,100,8.49,2017,"Red","Cuvée Confidence Côtes du Rhône Rouge 2017 - Domaine Fond Croze, Côtes-du-Rhône"
"Shiraz 2018","Australia","South Eastern Australia","Barramundi",3.2,100,6.5,2018,"Red","Shiraz 2018 - Barramundi, South Eastern Australia"
"Proprietor's Blend 2016","South Africa","Stellenbosch","Ernie Els",4.2,100,29.09,2016,"Red","Proprietor's Blend 2016 - Ernie Els, Stellenbosch"
"La Bienquerida 2016","Spain","Bierzo","Losada",4.3,100,41.58,2016,"Red","La Bienquerida 2016 - Losada, Bierzo"
